field_id,date,temperature,humidity,rainfall,wind_speed
1,2024-01-15,22.5,68,5,12
1,2024-02-15,25.8,65,12,15
1,2024-03-15,28.3,62,18,14
1,2024-04-15,31.2,58,8,16
1,2024-05-15,33.5,55,2,18
2,2024-01-15,23.1,70,8,13
2,2024-02-15,26.2,67,15,14
2,2024-03-15,29.0,64,22,15
2,2024-04-15,32.0,60,10,17
2,2024-05-15,34.2,57,3,19
3,2024-01-15,21.8,72,10,11
3,2024-02-15,25.0,69,18,13
3,2024-03-15,27.8,66,25,14
3,2024-04-15,30.5,62,12,16
3,2024-05-15,32.8,59,5,17
4,2024-01-15,22.8,69,6,12
4,2024-02-15,26.0,66,13,14
4,2024-03-15,28.8,63,20,15
4,2024-04-15,31.5,59,9,17
4,2024-05-15,33.8,56,2,18
5,2024-01-15,23.2,71,7,13
5,2024-02-15,26.5,68,14,15
5,2024-03-15,29.2,65,21,16
5,2024-04-15,32.2,61,11,18
5,2024-05-15,34.5,58,4,19